city	day/month/year	temperature	humidity	rainfall	wind_speed	uv_index
Hanoi	01/01/2024	22.50 °C	72.0%	0.1 mm	18.7 kph	6.0
Hung Yen	01/01/2024	21.90 °C	72.0%	0.0 mm	20.5 kph	6.0
Ha Nam	01/01/2024	22.30 °C	80.0%	0.2 mm	14.8 kph	6.0
Hoa Binh	01/01/2024	21.70 °C	80.0%	0.3 mm	8.3 kph	6.0
Bac Ninh	01/01/2024	22.20 °C	69.0%	0.1 mm	19.8 kph	6.0
Vinh Phuc	01/01/2024	22.50 °C	72.0%	0.1 mm	18.7 kph	6.0
Phu Tho	01/01/2024	28.30 °C	66.0%	0.0 mm	17.3 kph	7.0
Hanoi	02/01/2024	22.70 °C	77.0%	1.7 mm	17.6 kph	6.0
Hung Yen	02/01/2024	22.00 °C	80.0%	1.1 mm	17.6 kph	6.0
Ha Nam	02/01/2024	21.80 °C	86.0%	0.6 mm	13.3 kph	5.0
Hoa Binh	02/01/2024	22.40 °C	81.0%	0.9 mm	10.4 kph	6.0
Bac Ninh	02/01/2024	22.20 °C	76.0%	0.9 mm	18.0 kph	6.0
Vinh Phuc	02/01/2024	22.70 °C	77.0%	1.7 mm	17.6 kph	6.0
Phu Tho	02/01/2024	28.40 °C	63.0%	0.0 mm	17.3 kph	8.0
Hanoi	03/01/2024	19.10 °C	80.0%	3.2 mm	21.6 kph	5.0
Hung Yen	03/01/2024	19.70 °C	81.0%	3.5 mm	13.3 kph	5.0
Ha Nam	03/01/2024	19.70 °C	89.0%	3.2 mm	19.1 kph	5.0
Hoa Binh	03/01/2024	18.30 °C	91.0%	4.7 mm	10.1 kph	5.0
Bac Ninh	03/01/2024	18.80 °C	79.0%	4.6 mm	26.6 kph	5.0
Vinh Phuc	03/01/2024	19.10 °C	80.0%	3.2 mm	21.6 kph	5.0
Phu Tho	03/01/2024	28.50 °C	63.0%	0.0 mm	18.7 kph	9.0
Hanoi	04/01/2024	19.00 °C	71.0%	0.1 mm	9.0 kph	5.0
Hung Yen	04/01/2024	19.60 °C	72.0%	0.1 mm	16.9 kph	5.0
Ha Nam	04/01/2024	19.10 °C	79.0%	0.3 mm	7.6 kph	5.0
Hoa Binh	04/01/2024	17.80 °C	81.0%	0.3 mm	5.8 kph	5.0
Bac Ninh	04/01/2024	18.70 °C	70.0%	0.0 mm	6.5 kph	5.0
Vinh Phuc	04/01/2024	19.00 °C	71.0%	0.1 mm	9.0 kph	5.0
Phu Tho	04/01/2024	27.80 °C	61.0%	0.0 mm	18.0 kph	8.0
Hanoi	05/01/2024	21.10 °C	74.0%	0.6 mm	13.7 kph	5.0
Hung Yen	05/01/2024	20.10 °C	81.0%	1.6 mm	13.0 kph	5.0
Ha Nam	05/01/2024	20.80 °C	81.0%	0.1 mm	11.2 kph	5.0
Hoa Binh	05/01/2024	20.80 °C	78.0%	0.4 mm	4.7 kph	5.0
Bac Ninh	05/01/2024	20.30 °C	76.0%	0.9 mm	14.0 kph	5.0
