city	day/month/year	temperature	humidity	rainfall	wind_speed	uv_index
Ho Chi Minh City	01/01/2024	28.30 °C	66.0%	0.0 mm	17.3 kph	7.0
Binh Phuoc	01/01/2024	27.80 °C	71.0%	0.0 mm	16.9 kph	8.0
Dong Nai	01/01/2024	21.40 °C	92.0%	1.2 mm	8.6 kph	5.0
Ba Ria Vung Tau	01/01/2024	26.60 °C	78.0%	0.0 mm	27.7 kph	7.0
Tien Giang	01/01/2024	22.50 °C	72.0%	0.1 mm	18.7 kph	6.0
Tay Ninh	01/01/2024	28.90 °C	62.0%	0.0 mm	18.0 kph	8.0
Binh Duong	01/01/2024	22.90 °C	88.0%	3.5 mm	15.5 kph	5.0
Ho Chi Minh City	02/01/2024	28.40 °C	63.0%	0.0 mm	17.3 kph	8.0
Binh Phuoc	02/01/2024	27.90 °C	69.0%	0.0 mm	17.6 kph	8.0
Dong Nai	02/01/2024	20.90 °C	93.0%	0.8 mm	5.0 kph	5.0
Ba Ria Vung Tau	02/01/2024	26.70 °C	76.0%	0.0 mm	30.6 kph	7.0
Tien Giang	02/01/2024	22.70 °C	77.0%	1.7 mm	17.6 kph	6.0
Tay Ninh	02/01/2024	29.00 °C	61.0%	0.0 mm	16.9 kph	9.0
Binh Duong	02/01/2024	22.50 °C	86.0%	1.5 mm	10.8 kph	5.0
Ho Chi Minh City	03/01/2024	28.50 °C	63.0%	0.0 mm	18.7 kph	9.0
Binh Phuoc	03/01/2024	27.80 °C	70.0%	0.0 mm	18.4 kph	8.0
Dong Nai	03/01/2024	21.50 °C	93.0%	12.3 mm	20.2 kph	5.0
Ba Ria Vung Tau	03/01/2024	26.60 °C	78.0%	0.0 mm	34.6 kph	7.0
Tien Giang	03/01/2024	19.10 °C	80.0%	3.2 mm	21.6 kph	5.0
Tay Ninh	03/01/2024	29.00 °C	62.0%	0.0 mm	17.6 kph	7.0
Binh Duong	03/01/2024	23.00 °C	86.0%	9.6 mm	19.8 kph	5.0
Ho Chi Minh City	04/01/2024	27.80 °C	61.0%	0.0 mm	18.0 kph	8.0
Binh Phuoc	04/01/2024	27.00 °C	67.0%	0.0 mm	18.0 kph	8.0
Dong Nai	04/01/2024	18.50 °C	92.0%	5.3 mm	12.6 kph	4.0
Ba Ria Vung Tau	04/01/2024	25.80 °C	76.0%	0.0 mm	36.7 kph	7.0
Tien Giang	04/01/2024	19.00 °C	71.0%	0.1 mm	9.0 kph	5.0
Tay Ninh	04/01/2024	28.00 °C	60.0%	0.0 mm	18.4 kph	8.0
Binh Duong	04/01/2024	22.30 °C	80.0%	4.1 mm	16.2 kph	5.0
Ho Chi Minh City	05/01/2024	27.80 °C	59.0%	0.0 mm	13.0 kph	7.0
Binh Phuoc	05/01/2024	27.10 °C	66.0%	0.0 mm	13.7 kph	7.0
